NAME	ML	A/H	TEAM	OPP	OPP RANK	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L3 % OVER	LAST GAMES ➡️	LAST YR % OVER	OVER	UNDER
Tee Higgins	-435	H	CIN	BAL	26th	rec	4.5	5.3	5.73 - 3.67	6.12 - 4.17	71%	67%	1,8,5,3,7,9,7,3,5,6,7,5,6,2	57%	-150	'+115
Tee Higgins	-435	H	CIN	BAL	26th	rec_yds	61.5	73.5	80.18 - 49.0	85.38 - 57.67	50%	33%	7,128,33,35,114,148,60,49,93,47,124,93,71,27	57%	-110	-120
Tj Hockenson	-165	H	MIN	NYG	12th	rec	4.5	4.8	5.08 - 5.25	5.86 - 4.56	47%	67%	1,7,13,3,6,4,5,5,7,9,3,1,8,3,3,4	50%	-160	'+120
Tj Hockenson	-165	H	MIN	NYG	14th	rec_yds	49.5	50.9	55.83 - 49.0	67.43 - 43.78	35%	67%	16,59,109,33,77,33,43,34,45,70,80,6,179,18,26,38	42%	-115	-115
Tredavious White	-850	H	BUF	MIA	1st	tackles_combined	3.5	4.0	4.0 - 0	4.5 - 3.67	80%	67%	4,5,3,4,4	45%	-115	-115
Tremaine Edmunds	-850	H	BUF	MIA	1st	tackles_combined	7.5	7.8	8.4 - 6.0	8.43 - 7.17	54%	67%	7,9,8,7,6,3,10,16,10,9,5,2,10	47%	-115	-115
Trent Sherfield	'+600	A	MIA	BUF	15th	rec_yds	15.5	26.1	26.75 - 25.38	25.89 - 26.29	56%	67%	30,25,0,7,75,33,63,27,25,44,6,5,55,5,9,8	22%	-115	-115
Trent Sherfield	'+600	A	MIA	BUF	22nd	rec	1.5	1.9	2.25 - 1.5	1.78 - 2.0	56%	67%	2,2,0,1,1,2,4,3,2,3,1,1,4,1,2,1	22%	-115	-115
Trenton Irwin	-435	H	CIN	BAL	26th	rec_yds	5.5	25.7	25.5 - 27.0	27.0 - 24.0	89%	67%	12,45,5,58,12,16,42,14,27	100%	-125	-105
Tyler Bass	-850	H	BUF	MIA		fgm	1.5	1.7	1.69 - 1.67	1.25 - 2.12	44%	0%	0,0,1,2,1,2,6,3,1,2,1,1,3,1,2,1	0%	-130	'+100
Tyler Boyd	-435	H	CIN	BAL	26th	rec_yds	33.5	47.6	53.5 - 30.0	41.33 - 55.71	62%	67%	51,21,35,0,60,16,42,44,38,155,66,32,47,105,17,33	69%	-120	-110
Tyler Boyd	-435	H	CIN	BAL	26th	rec	3.5	3.6	3.83 - 3.0	3.33 - 4.0	50%	67%	5,3,5,0,4,2,2,5,3,8,6,3,2,4,2,4	69%	'+105	-140
Tyler Huntley	'+350	A	BAL	CIN	18th	pass_int	0.5	0.6	0.33 - 1.0	0.5 - 0.67	60%	67%	1,0,1,0,1	43%	-135	'+100
Tyler Huntley	'+350	A	BAL	CIN	4th	pass_td	0.5	0.4	0.33 - 0.5	0.0 - 0.67	40%	67%	1,1,0,0,0	29%	-145	'+110
Tyler Huntley	'+350	A	BAL	CIN	23rd	pass_yds	150.5	131.6	130.0 - 134.0	113.0 - 144.0	20%	0%	130,115,138,88,187	57%	-125	-105
Tyler Huntley	'+350	A	BAL	CIN	9th	rush_yds	32.5	27.4	32.67 - 19.5	23.0 - 30.33	20%	0%	24,26,15,31,41	71%	-105	-125
Tyreek Hill	'+600	A	MIA	BUF	15th	rec_yds	61.5	100.6	96.89 - 104.75	119.89 - 78.88	71%	33%	23,55,103,69,81,146,85,44,143,188,72,177,47,160,33,190,94	53%	-130	'+100
Tyreek Hill	'+600	A	MIA	BUF	22nd	rec	4.5	7.0	6.67 - 7.38	8.11 - 5.75	71%	0%	2,4,4,9,4,9,6,5,7,12,7,12,7,10,2,11,8	65%	-165	'+120
Xavien Howard	'+600	A	MIA	BUF	7th	tackles_combined	3.5	3.0	2.78 - 3.33	3.0 - 3.0	40%	67%	2,4,4,4,3,0,4,2,2,3,3,2,6,4,2	38%	-115	-115
Zach Sieler	'+600	A	MIA	BUF	7th	tackles_combined	4.5	4.1	3.89 - 4.38	4.78 - 3.38	35%	33%	3,6,3,5,6,7,5,4,7,4,4,3,3,2,3,3,2	24%	-115	-115
Zach Sieler	'+600	A	MIA	BUF		sacks	0.75	0.2	0.11 - 0.31	0.39 - 0.0	18%	33%	0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0	12%	'+220	-310
