NAME	POS	AVG MIN	ML	A/H	TEAM	OPP	OPP RANK	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L5 % OVER	LAST 7 GAMES ➡️	LAST YR % OVER	OVER	UNDER
Herbert Jones	SF	28	-250	H	NO	IND	17th	pts+reb	14.5	13.7	12.0 - 15.8	14.8 - 12.83	41%	40%	15,11,11,16,6,16,15	31%	-110	-120
Herbert Jones	SF	28	-250	H	NO	IND	28th	reb+ast	5.5	5.6	5.08 - 6.2	6.1 - 5.17	41%	40%	5,3,7,8,2,5,6	44%	-135	'+105
Trey Murphy Iii	SG	28	-250	H	NO	IND	4th	blk	0.5	0.5	0.53 - 0.5	0.46 - 0.56	41%	40%	0,0,2,0,1,1,0	8%	'+135	-165
Mason Plumlee	C	27	'+175	A	CHA	POR	25th	pts+reb	20.5	19.1	20.38 - 18.71	17.59 - 20.87	41%	40%	21,19,20,15,30,19,22	17%	-125	-105
Tre Jones	PG	30	-190	H	SA	UTAH	28th	pts	13.5	12.7	13.7 - 12.15	11.54 - 13.53	40%	40%	19,13,9,10,15,10,26	32%	-105	-125
Zion Williamson	PF	33	-250	H	NO	IND	15th	blk	0.5	0.6	0.6 - 0.6	0.46 - 0.75	40%	40%	0,1,2,0,0,0,1	0%	-130	'+100
Damian Lillard	PG	34	-205	H	POR	CHA	18th	reb+ast	12.5	10.8	10.83 - 10.62	10.9 - 10.6	40%	40%	10,9,13,4,13,5,11	29%	'+110	-140
Jerami Grant	SF	35	-205	H	POR	CHA	13th	stl	0.5	0.8	0.67 - 0.87	0.82 - 0.69	40%	40%	0,2,0,1,0,0,1	56%	-145	'+115
Josh Hart	SG	34	-205	H	POR	CHA	12th	pts+ast	14.5	13.5	13.44 - 13.64	14.0 - 12.92	40%	40%	15,19,13,7,8,10,15	72%	-120	-110
Bojan Bogdanovic	SF	30	'+190	H	DET	LAC	25th	stl+blk	0.5	0.6	0.88 - 0.48	0.5 - 0.67	39%	40%	0,1,0,1,0,2,0	42%	-120	-110
Bojan Bogdanovic	SF	30	'+190	H	DET	LAC	21st	stl	0.5	0.5	0.88 - 0.44	0.5 - 0.6	39%	40%	0,1,0,1,0,1,0	41%	-110	-120
Jalen Duren	C	23	'+190	H	DET	LAC	15th	stl+blk	1.5	1.4	2.12 - 1.09	1.19 - 1.53	39%	40%	0,0,3,1,3,1,0	0%	'+130	-160
Alperen Sengun	C	26	'+250	A	HOU	CHI	10th	stl+blk	1.5	1.6	2.86 - 1.19	1.6 - 1.62	39%	40%	0,2,3,1,1,2,0	68%	-110	-120
Jonas Valanciunas	C	23	-250	H	NO	IND	28th	pts+reb+ast	25.5	25.0	25.42 - 24.25	27.57 - 22.82	39%	40%	27,60,20,16,22,18,22	33%	-110	-120
Jonas Valanciunas	C	23	-250	H	NO	IND	28th	pts+reb	23.5	23.2	23.58 - 22.5	25.64 - 21.12	39%	40%	26,55,20,15,21,18,22	41%	-115	-115
Anthony Edwards	SG	36	'+130	A	MIN	MIA	11th	pts+reb	30.5	29.1	31.0 - 27.12	29.0 - 29.12	38%	40%	27,40,44,30,26,19,32	34%	-110	-120
Myles Turner	C	29	'+210	A	IND	NO	21st	reb	8.5	7.8	8.23 - 7.31	7.62 - 7.92	38%	40%	6,8,11,2,13,3,6	30%	'+110	-140
Lamelo Ball	PG	33	'+175	A	CHA	POR	26th	stl+blk	1.5	1.0	0.0 - 1.33	0.8 - 1.33	38%	40%	2,0,1,2,0,2,0	57%	-130	'+100
Dangelo Russell	PG	32	'+130	A	MIN	MIA	14th	pts+reb+ast	28.5	26.0	26.27 - 25.8	26.0 - 26.06	37%	40%	22,16,38,34,28,35,32	52%	-105	-125
Josh Hart	SG	34	-205	H	POR	CHA	16th	reb	8.5	8.2	9.94 - 6.29	8.82 - 7.46	37%	40%	5,8,13,4,10,7,8	30%	-130	'+100
Jeremy Sochan	F	24	-190	H	SA	UTAH	16th	pts+reb+ast	18.5	14.8	15.14 - 14.72	16.5 - 13.31	36%	40%	38,21,10,12,8,8,27	0%	-120	-110
