NAME	POS	AVG MIN	ML	A/H	TEAM	OPP	OPP RANK	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L5 % OVER	LAST 7 GAMES ➡️	LAST YR % OVER	OVER	UNDER
Lamelo Ball	PG	33	'+175	A	CHA	POR	8th	3ptm	3.5	4.4	4.5 - 4.33	3.6 - 5.67	88%	100%	4,5,4,7,5,5,4	37%	-120	-110
Kyrie Irving	PG	36	'+105	A	BKN	CLE	6th	reb+ast	7.5	9.3	9.0 - 9.67	8.38 - 9.79	73%	100%	9,8,11,14,14,13,10	82%	-140	'+110
Nic Claxton	C	27	'+105	A	BKN	CLE	5th	blk	1.5	2.3	2.82 - 1.67	2.53 - 2.14	72%	100%	2,3,6,2,3,2,3	44%	-105	-125
Devin Vassell	SG	31	-190	H	SA	UTAH	23rd	stl	0.5	1.1	1.57 - 0.94	1.25 - 1.0	72%	100%	3,1,1,3,3,3,0	64%	-235	'+190
Nic Claxton	C	27	'+105	A	BKN	CLE	16th	stl+blk	2.5	3.0	3.65 - 2.17	3.33 - 2.71	69%	100%	3,3,7,3,4,3,3	40%	'+110	-140
Kyrie Irving	PG	36	'+105	A	BKN	CLE	2nd	pts+reb+ast	31.5	35.4	36.46 - 33.89	37.12 - 34.43	68%	100%	47,40,35,47,47,31,37	62%	-135	'+105
Kyrie Irving	PG	36	'+105	A	BKN	CLE	2nd	pts+ast	27.5	30.6	32.08 - 28.56	32.25 - 29.71	68%	100%	41,37,29,36,42,23,32	59%	-115	-115
Kyrie Irving	PG	36	'+105	A	BKN	CLE	2nd	pts	23.5	26.1	27.46 - 24.22	28.75 - 24.64	64%	100%	38,32,24,33,33,18,27	59%	-125	-105
Kyrie Irving	PG	36	'+105	A	BKN	CLE	2nd	pts+reb	27.5	30.9	31.85 - 29.56	33.62 - 29.36	64%	100%	44,35,30,44,38,26,32	56%	-115	-115
Kevin Porter Jr	SG	34	'+250	A	HOU	CHI	12th	stl+blk	1.5	2.0	2.11 - 1.9	1.62 - 2.36	63%	100%	4,3,2,5,2,3,1	48%	-110	-120
Jordan Clarkson	PG	32	'+160	A	UTAH	SA	21st	stl+blk	0.5	0.8	0.74 - 0.8	0.88 - 0.65	59%	100%	1,1,1,1,2,1,1	66%	-180	'+145
Jonas Valanciunas	C	23	-250	H	NO	IND	13th	stl+blk	0.5	0.7	0.63 - 0.75	1.0 - 0.41	58%	100%	1,1,1,1,2,0,0	75%	-165	'+135
Kevin Durant	PF	36	'+105	A	BKN	CLE	13th	stl	0.5	0.8	0.79 - 0.92	0.47 - 1.19	52%	100%	4,1,1,1,1,0,2	59%	-220	'+180
Kevin Porter Jr	SG	34	'+250	A	HOU	CHI	11th	stl	1.5	1.5	1.33 - 1.57	1.19 - 1.86	50%	100%	3,2,2,4,2,2,1	36%	'+170	-210
Jordan Clarkson	PG	32	'+160	A	UTAH	SA	24th	3ptm	2.5	2.7	3.32 - 2.0	2.76 - 2.71	47%	100%	4,3,3,3,7,1,0	55%	-120	-110
Jordan Clarkson	PG	32	'+160	A	UTAH	SA	20th	stl	0.5	0.5	0.47 - 0.47	0.41 - 0.53	41%	100%	1,1,1,1,2,0,1	54%	-120	-110
Jalen Duren	C	23	'+190	H	DET	LAC	22nd	reb+ast	10.5	9.0	7.75 - 9.48	9.5 - 8.53	35%	100%	12,14,13,15,21,15,12	0%	-135	'+105
Kevin Durant	PF	36	'+105	A	BKN	CLE	27th	pts	26.5	30.1	29.79 - 30.67	29.33 - 30.88	77%	80%	23,43,28,30,34,29,31	59%	-150	'+120
Devin Vassell	SG	31	-190	H	SA	UTAH	8th	ast	2.5	3.6	3.43 - 3.61	3.58 - 3.54	76%	80%	5,5,2,4,3,2,4	38%	-155	'+125
Kevin Durant	PF	36	'+105	A	BKN	CLE	15th	stl+blk	1.5	2.4	2.16 - 2.83	2.0 - 2.81	74%	80%	4,3,1,2,3,0,4	48%	-160	'+130
Kevin Porter Jr	SG	34	'+250	A	HOU	CHI	5th	reb	4.5	5.6	6.56 - 5.14	5.31 - 5.86	73%	80%	6,4,7,7,5,3,3	51%	-145	'+115
Jaden Ivey	PG	30	'+190	H	DET	LAC	28th	stl	0.5	1.1	1.12 - 1.05	1.0 - 1.15	67%	80%	2,1,1,1,0,1,1	0%	-195	'+160
Anfernee Simons	SG	35	-205	H	POR	CHA	16th	3ptm	3.5	4.0	4.25 - 3.71	3.71 - 4.38	67%	80%	4,5,5,1,5,2,5	48%	-120	-110
Pj Washington	PF	31	'+175	A	CHA	POR	14th	blk	0.5	1.0	0.75 - 1.09	0.88 - 1.14	65%	80%	1,1,1,2,0,1,1	64%	-160	'+130
Kyrie Irving	PG	36	'+105	A	BKN	CLE	4th	reb	3.5	4.8	4.38 - 5.33	4.88 - 4.71	64%	80%	6,3,6,11,5,8,5	59%	-140	'+110
Lamelo Ball	PG	33	'+175	A	CHA	POR	15th	pts+ast	30.5	31.4	30.5 - 31.67	31.0 - 32.0	62%	80%	37,35,36,30,34,32,26	40%	-120	-110
Jalen Green	SG	34	'+250	A	HOU	CHI	5th	reb	3.5	4.2	4.56 - 4.09	3.69 - 4.8	61%	80%	8,1,5,5,7,7,3	51%	-155	'+125
Damian Lillard	PG	34	-205	H	POR	CHA	4th	stl	0.5	0.9	0.83 - 1.0	1.0 - 0.8	60%	80%	2,1,2,0,2,0,2	45%	-195	'+160
Ben Simmons	PG	27	'+105	A	BKN	CLE	6th	reb+ast	11.5	12.5	13.15 - 11.56	11.67 - 13.5	59%	80%	12,16,10,13,13,7,20	0%	-120	-110
Herbert Jones	SF	28	-250	H	NO	IND	1st	3ptm	0.5	1.0	0.92 - 1.0	0.8 - 1.08	59%	80%	2,2,2,1,0,2,1	49%	-205	'+165
Kevin Durant	PF	36	'+105	A	BKN	CLE	27th	3ptm	1.5	1.7	1.89 - 1.33	1.67 - 1.69	58%	80%	1,3,2,3,2,2,1	64%	-175	'+140
Paul George	SG	34	-225	A	LAC	DET	21st	reb	6.5	6.3	6.33 - 6.38	6.27 - 6.42	57%	80%	8,11,6,7,8,7,3	53%	'+105	-135
Anthony Edwards	SG	36	'+130	A	MIN	MIA	12th	reb	5.5	6.0	6.88 - 5.19	6.47 - 5.65	56%	80%	4,13,7,11,7,2,6	38%	-155	'+125
Mason Plumlee	C	27	'+175	A	CHA	POR	28th	pts+ast	13.5	13.9	15.75 - 13.29	13.76 - 14.07	56%	80%	19,18,15,10,15,12,16	17%	-115	-115
Alperen Sengun	C	26	'+250	A	HOU	CHI	16th	blk	0.5	1.0	1.57 - 0.76	1.07 - 0.85	54%	80%	0,1,3,1,1,1,0	62%	-175	'+140
Paul George	SG	34	-225	A	LAC	DET	27th	reb+ast	11.5	11.4	11.67 - 10.88	11.73 - 11.08	52%	80%	16,22,9,13,15,12,10	56%	-120	-110
Keldon Johnson	SF	32	-190	H	SA	UTAH	3rd	pts+reb	26.5	26.3	29.67 - 24.56	23.36 - 28.25	52%	80%	24,32,27,27,39,32,21	22%	-125	-105
Cj Mccollum	SG	35	-250	H	NO	IND	17th	reb	4.5	5.1	4.56 - 5.82	5.25 - 4.93	52%	80%	8,8,2,6,6,4,7	43%	-150	'+120
Kyrie Irving	PG	36	'+105	A	BKN	CLE	4th	3ptm	2.5	2.8	3.31 - 2.0	2.88 - 2.71	50%	80%	5,3,3,5,1,1,2	65%	-125	-105
Mason Plumlee	C	27	'+175	A	CHA	POR	27th	pts	10.5	10.0	11.25 - 9.62	9.82 - 10.27	50%	80%	18,15,11,8,12,7,13	18%	-130	'+100
Nic Claxton	C	27	'+105	A	BKN	CLE	27th	stl	0.5	0.7	0.82 - 0.5	0.8 - 0.57	48%	80%	1,0,1,1,1,1,0	40%	-145	'+115
Keldon Johnson	SF	32	-190	H	SA	UTAH	4th	reb	5.5	5.2	4.89 - 5.33	4.09 - 5.94	48%	80%	2,7,6,6,7,5,6	63%	'+105	-135
Cj Mccollum	SG	35	-250	H	NO	IND	24th	3ptm	2.5	2.5	2.44 - 2.55	2.08 - 2.8	48%	80%	7,6,4,3,1,3,1	57%	-140	'+110
Jarrett Allen	C	33	-125	H	CLE	BKN	4th	ast	1.5	1.5	1.53 - 1.43	1.45 - 1.53	46%	80%	3,2,1,2,3,3,1	48%	'+135	-165
Myles Turner	C	29	'+210	A	IND	NO	24th	3ptm	1.5	1.7	1.46 - 1.85	1.38 - 1.92	46%	80%	1,2,2,2,2,1,1	45%	-105	-125
Myles Turner	C	29	'+210	A	IND	NO	21st	stl	0.5	0.6	0.54 - 0.69	0.31 - 0.92	46%	80%	1,1,0,2,1,0,1	48%	-105	-125
Jalen Duren	C	23	'+190	H	DET	LAC	29th	ast	0.5	0.8	0.62 - 0.87	0.81 - 0.8	45%	80%	4,0,2,1,2,2,0	0%	-220	'+180
Jaden Mcdaniels	PF	30	'+130	A	MIN	MIA	14th	ast	1.5	1.5	1.93 - 1.07	1.14 - 1.87	45%	80%	2,2,5,1,2,1,2	32%	-150	'+120
Nikola Vucevic	C	32	-300	H	CHI	HOU	8th	pts	17.5	16.8	17.15 - 16.56	17.35 - 16.14	45%	80%	20,29,23,9,19,13,20	45%	-110	-120
Nikola Vucevic	C	32	-300	H	CHI	HOU	6th	pts+ast	20.5	19.7	20.46 - 19.22	19.59 - 19.93	45%	80%	22,31,28,13,24,14,24	41%	-110	-120
Anthony Edwards	SG	36	'+130	A	MIN	MIA	18th	ast	4.5	4.5	5.25 - 3.69	3.87 - 5.0	44%	80%	5,9,11,7,3,3,7	36%	-150	'+120
Paul George	SG	34	-225	A	LAC	DET	27th	pts+reb+ast	36.5	34.8	37.27 - 30.12	35.82 - 33.83	43%	80%	38,39,35,49,44,23,29	44%	-110	-120
Jaden Mcdaniels	PF	30	'+130	A	MIN	MIA	28th	reb	3.5	3.4	3.87 - 3.0	3.0 - 3.87	41%	80%	3,5,8,5,4,1,0	71%	-135	'+105
Mason Plumlee	C	27	'+175	A	CHA	POR	23rd	stl+blk	1.5	1.3	1.62 - 1.17	1.35 - 1.2	41%	80%	2,3,2,2,0,2,3	51%	-110	-120
Jalen Duren	C	23	'+190	H	DET	LAC	25th	pts+ast	9.5	8.0	7.38 - 8.22	8.0 - 8.0	39%	80%	11,15,10,16,9,5,10	0%	-130	'+100
Paul George	SG	34	-225	A	LAC	DET	27th	ast	5.5	5.0	5.33 - 4.5	5.45 - 4.67	39%	80%	8,11,3,6,7,5,7	47%	'+100	-130
Anthony Edwards	SG	36	'+130	A	MIN	MIA	6th	blk	0.5	0.5	0.62 - 0.31	0.47 - 0.47	38%	80%	1,2,0,1,1,0,0	47%	-105	-125
Cj Mccollum	SG	35	-250	H	NO	IND	30th	pts+reb+ast	33.5	30.4	28.44 - 33.36	28.42 - 32.07	37%	80%	57,48,37,38,20,40,30	42%	-115	-115
Cj Mccollum	SG	35	-250	H	NO	IND	30th	pts+reb	27.5	24.5	22.62 - 27.27	23.75 - 25.13	37%	80%	48,39,29,34,20,33,25	45%	-110	-120
Cj Mccollum	SG	35	-250	H	NO	IND	30th	pts+ast	28.5	25.4	23.88 - 27.55	23.17 - 27.13	37%	80%	49,40,35,32,14,36,23	49%	-115	-115
Jeremy Sochan	F	24	-190	H	SA	UTAH	16th	ast	2.5	2.3	2.14 - 2.39	2.17 - 2.46	36%	80%	6,2,4,3,3,3,5	0%	-140	'+110
Jalen Duren	C	23	'+190	H	DET	LAC	13th	reb	9.5	8.2	7.12 - 8.61	8.69 - 7.73	35%	80%	8,14,11,14,19,13,12	0%	-130	'+100
Jaden Mcdaniels	PF	30	'+130	A	MIN	MIA	26th	reb+ast	5.5	5.0	5.8 - 4.07	4.14 - 5.73	34%	80%	5,7,13,6,6,2,2	54%	-135	'+105
Cj Mccollum	SG	35	-250	H	NO	IND	28th	pts	22.5	19.4	18.06 - 21.45	18.5 - 20.2	33%	80%	40,31,27,28,14,29,18	52%	-110	-120
Jalen Duren	C	23	'+190	H	DET	LAC	23rd	pts+reb+ast	19.5	16.2	14.5 - 16.83	16.69 - 15.73	32%	80%	19,29,21,30,28,18,22	0%	-125	-105
Jalen Duren	C	23	'+190	H	DET	LAC	19th	pts+reb	18.5	15.4	13.88 - 15.96	15.88 - 14.93	32%	80%	15,29,19,29,26,16,22	0%	-120	-110
Patrick Williams	PF	27	-300	H	CHI	HOU	17th	ast	1.5	1.3	1.38 - 1.22	1.18 - 1.43	26%	80%	1,4,4,3,5,1,3	35%	-145	'+115
Mason Plumlee	C	27	'+175	A	CHA	POR	27th	ast	2.5	3.9	4.5 - 3.67	3.94 - 3.8	88%	60%	1,3,4,2,3,5,3	69%	-110	-120
Kevin Durant	PF	36	'+105	A	BKN	CLE	19th	blk	0.5	1.6	1.37 - 1.92	1.53 - 1.62	84%	60%	0,2,0,1,2,0,2	57%	-160	'+130
Royce Oneale	PF	35	'+105	A	BKN	CLE	9th	reb	3.5	5.1	5.89 - 4.0	4.21 - 5.94	77%	60%	0,2,7,9,4,4,8	75%	-145	'+115
Royce Oneale	PF	35	'+105	A	BKN	CLE	22nd	pts+reb	11.5	14.3	14.5 - 14.08	13.64 - 14.94	73%	60%	14,13,7,15,7,10,19	59%	-130	'+100
Royce Oneale	PF	35	'+105	A	BKN	CLE	14th	reb+ast	7.5	9.6	10.94 - 7.58	8.86 - 10.25	73%	60%	2,4,10,14,8,8,12	49%	'+100	-130
Dangelo Russell	PG	32	'+130	A	MIN	MIA	6th	stl	0.5	1.2	1.33 - 1.0	1.08 - 1.24	73%	60%	1,0,0,1,3,0,1	69%	-235	'+190
Terry Rozier	SG	36	'+175	A	CHA	POR	6th	pts+ast	24.5	26.4	28.0 - 25.88	24.56 - 27.62	73%	60%	4,19,27,35,28,34,30	47%	-125	-105
Kevin Durant	PF	36	'+105	A	BKN	CLE	22nd	pts+reb	32.5	36.7	36.95 - 36.42	35.93 - 37.5	71%	60%	30,49,32,39,38,38,38	62%	-115	-115
Kevin Durant	PF	36	'+105	A	BKN	CLE	28th	pts+ast	31.5	35.4	35.37 - 35.42	34.13 - 36.56	71%	60%	28,45,31,36,38,37,36	64%	-115	-115
Nic Claxton	C	27	'+105	A	BKN	CLE	5th	reb+ast	8.5	9.9	10.65 - 8.92	9.4 - 10.5	69%	60%	12,9,10,8,8,15,10	51%	-135	'+105
Donovan Mitchell	SG	36	-125	H	CLE	BKN	27th	pts	26.5	29.5	30.8 - 26.56	29.36 - 29.6	69%	60%	36,23,25,41,34,28,43	54%	-150	'+110
Donovan Mitchell	SG	36	-125	H	CLE	BKN	27th	pts+reb	30.5	33.3	34.65 - 30.22	33.57 - 33.0	69%	60%	40,25,29,42,37,33,49	57%	-120	-110
Kyrie Irving	PG	36	'+105	A	BKN	CLE	8th	ast	3.5	4.5	4.62 - 4.33	3.5 - 5.07	68%	60%	3,5,5,3,9,5,5	91%	-160	'+130
Jordan Clarkson	PG	32	'+160	A	UTAH	SA	30th	reb+ast	7.5	8.3	8.79 - 7.73	8.0 - 8.65	68%	60%	10,9,2,4,10,4,5	38%	-135	'+105
Terry Rozier	SG	36	'+175	A	CHA	POR	7th	pts	20.5	20.9	22.0 - 20.53	20.11 - 21.38	68%	60%	2,10,25,29,24,29,22	44%	-115	-115
Terry Rozier	SG	36	'+175	A	CHA	POR	3rd	reb+ast	8.5	10.0	10.0 - 10.0	9.11 - 10.62	68%	60%	4,9,7,14,10,7,13	53%	-140	-110
Isaiah Stewart	C	27	'+190	H	DET	LAC	13th	reb	6.5	8.2	10.67 - 7.48	9.5 - 7.13	67%	60%	5,3,7,7,11,5,7	83%	-130	'+100
Royce Oneale	PF	35	'+105	A	BKN	CLE	27th	3ptm	1.5	2.3	2.06 - 2.58	2.43 - 2.12	67%	60%	4,3,0,2,1,2,3	42%	-180	'+145
Evan Mobley	PF	34	-125	H	CLE	BKN	5th	pts	13.5	14.8	14.41 - 15.45	15.67 - 14.0	67%	60%	7,12,17,16,14,17,21	55%	-115	-115
Tyrese Haliburton	PG	33	'+210	A	IND	NO	13th	stl+blk	1.5	2.1	2.33 - 1.87	2.0 - 2.19	67%	60%	1,0,4,3,2,4,0	69%	-185	'+150
Nic Claxton	C	27	'+105	A	BKN	CLE	5th	pts+reb+ast	18.5	21.5	23.71 - 18.42	20.33 - 22.79	66%	60%	22,15,25,17,22,24,25	58%	-125	-105
Nic Claxton	C	27	'+105	A	BKN	CLE	4th	pts+ast	11.5	12.9	14.88 - 10.17	12.13 - 13.79	66%	60%	15,8,15,10,15,10,16	55%	-110	-120
Buddy Hield	SG	31	'+210	A	IND	NO	11th	pts	15.5	17.4	17.44 - 17.38	16.94 - 17.88	66%	60%	8,23,14,17,19,17,28	50%	-130	'+100
Trey Murphy Iii	SG	28	-250	H	NO	IND	18th	stl	0.5	1.1	1.41 - 0.67	1.08 - 1.12	66%	60%	2,0,0,1,1,2,0	30%	-220	'+180
Kevin Durant	PF	36	'+105	A	BKN	CLE	23rd	pts+reb+ast	37.5	42.0	42.53 - 41.17	40.73 - 43.19	65%	60%	35,51,35,45,42,46,43	66%	-110	-120
Jarrett Allen	C	33	-125	H	CLE	BKN	4th	stl+blk	1.5	2.0	1.89 - 2.14	2.0 - 1.93	65%	60%	1,4,2,0,2,4,2	70%	-150	'+120
Bojan Bogdanovic	SF	30	'+190	H	DET	LAC	4th	pts+reb+ast	25.5	26.8	30.88 - 25.44	26.56 - 27.0	64%	60%	18,21,31,26,32,44,23	41%	-120	-110
Terry Rozier	SG	36	'+175	A	CHA	POR	3rd	pts+reb+ast	29.5	30.9	32.0 - 30.53	29.22 - 32.0	64%	60%	6,19,32,43,34,36,35	41%	-115	-115
Isaiah Stewart	C	27	'+190	H	DET	LAC	15th	stl+blk	0.5	1.1	1.33 - 1.0	0.83 - 1.27	63%	60%	0,1,2,0,2,0,2	76%	-205	'+165
Jaden Ivey	PG	30	'+190	H	DET	LAC	7th	pts	14.5	15.6	13.88 - 16.18	14.41 - 17.08	63%	60%	18,30,19,5,13,16,10	0%	-125	-105
Darius Garland	PG	36	-125	H	CLE	BKN	6th	3ptm	1.5	2.4	2.25 - 2.64	1.67 - 3.0	63%	60%	2,2,1,2,1,1,1	72%	-155	'+125
Tyrese Haliburton	PG	33	'+210	A	IND	NO	18th	pts+ast	29.5	30.6	33.6 - 27.53	29.86 - 31.19	63%	60%	41,25,31,35,7,44,34	10%	-120	-110
Anfernee Simons	SG	35	-205	H	POR	CHA	4th	stl+blk	0.5	1.1	1.06 - 1.07	1.0 - 1.15	63%	60%	2,1,1,0,0,0,0	48%	-175	'+140
Anfernee Simons	SG	35	-205	H	POR	CHA	1st	stl	0.5	0.8	0.81 - 0.86	0.82 - 0.85	63%	60%	1,1,1,0,0,0,0	37%	-120	-110
Jerami Grant	SF	35	-205	H	POR	CHA	19th	blk	0.5	0.8	0.67 - 0.93	0.71 - 0.92	63%	60%	1,0,0,1,1,0,1	65%	-155	'+125
Donovan Mitchell	SG	36	-125	H	CLE	BKN	26th	pts+reb+ast	34.5	37.8	39.35 - 34.22	37.43 - 38.07	62%	60%	46,26,32,45,41,34,54	71%	-120	-110
Donovan Mitchell	SG	36	-125	H	CLE	BKN	26th	pts+ast	31.5	34.0	35.5 - 30.56	33.21 - 34.67	62%	60%	42,24,28,44,38,29,48	60%	-105	-125
Buddy Hield	SG	31	'+210	A	IND	NO	9th	pts+reb	20.5	22.1	22.38 - 21.75	21.5 - 22.62	62%	60%	13,26,15,22,28,21,30	50%	-105	-125
Buddy Hield	SG	31	'+210	A	IND	NO	12th	stl	0.5	1.0	1.19 - 0.75	0.81 - 1.12	62%	60%	1,1,0,1,0,0,3	58%	-160	'+130
Myles Turner	C	29	'+210	A	IND	NO	16th	pts+reb	22.5	24.4	27.38 - 21.46	22.31 - 26.54	62%	60%	16,14,23,23,28,19,20	30%	-120	-110
Kevin Durant	PF	36	'+105	A	BKN	CLE	9th	reb	5.5	6.6	7.16 - 5.75	6.6 - 6.62	61%	60%	7,6,4,9,4,9,7	71%	-110	-120
Evan Mobley	PF	34	-125	H	CLE	BKN	2nd	pts+ast	16.5	17.4	17.32 - 17.55	17.8 - 17.06	61%	60%	8,15,21,18,20,21,24	52%	'+100	-130
Jaden Ivey	PG	30	'+190	H	DET	LAC	12th	pts+reb	18.5	19.8	18.5 - 20.32	18.71 - 21.31	60%	60%	21,34,23,8,16,17,14	0%	-120	-110
Gordon Hayward	SF	32	'+175	A	CHA	POR	20th	stl	0.5	0.7	0.6 - 0.8	0.6 - 1.0	60%	60%	1,1,0,2,0,0,1	59%	-190	'+155
Josh Hart	SG	34	-205	H	POR	CHA	16th	3ptm	0.5	0.7	0.75 - 0.71	0.65 - 0.85	60%	60%	1,1,1,0,0,2,3	72%	-155	'+125
Darius Garland	PG	36	-125	H	CLE	BKN	20th	ast	7.5	7.8	8.44 - 6.91	7.25 - 8.27	59%	60%	2,8,12,10,6,9,8	54%	-125	-105
Buddy Hield	SG	31	'+210	A	IND	NO	9th	pts+ast	18.5	20.1	20.06 - 20.19	20.5 - 19.75	59%	60%	13,26,19,18,21,19,32	53%	-125	-105
Terry Rozier	SG	36	'+175	A	CHA	POR	3rd	reb	4.5	4.5	4.0 - 4.65	4.67 - 4.38	59%	60%	2,0,5,8,6,2,5	44%	-110	-120
Terry Rozier	SG	36	'+175	A	CHA	POR	3rd	pts+reb	25.5	25.4	26.0 - 25.18	24.78 - 25.77	59%	60%	4,10,30,37,30,31,27	41%	-105	-125
Bojan Bogdanovic	SF	30	'+190	H	DET	LAC	2nd	pts	19.5	20.7	23.38 - 19.88	19.89 - 21.73	58%	60%	10,15,26,22,24,38,19	38%	-120	-110
Bojan Bogdanovic	SF	30	'+190	H	DET	LAC	4th	pts+reb	23.5	24.4	27.75 - 23.28	24.11 - 24.67	58%	60%	18,18,27,24,28,42,23	37%	-110	-120
Bojan Bogdanovic	SF	30	'+190	H	DET	LAC	1st	pts+ast	22.5	23.1	26.5 - 22.04	22.33 - 24.07	58%	60%	10,18,30,24,28,40,19	34%	-105	-125
Evan Mobley	PF	34	-125	H	CLE	BKN	2nd	ast	2.5	2.6	2.91 - 2.09	2.13 - 3.06	58%	60%	1,3,4,2,6,4,3	49%	'+105	-135
Jarrett Allen	C	33	-125	H	CLE	BKN	13th	reb+ast	10.5	11.7	12.11 - 10.57	10.27 - 12.73	58%	60%	11,13,16,7,9,10,12	64%	-145	'+115
Demar Derozan	SF	35	-300	H	CHI	HOU	23rd	stl	0.5	0.8	0.92 - 0.72	1.0 - 0.57	58%	60%	1,0,2,1,0,0,0	64%	-215	'+175
Pj Washington	PF	31	'+175	A	CHA	POR	30th	ast	1.5	2.3	2.62 - 2.17	2.12 - 2.5	58%	60%	2,2,1,1,3,1,7	55%	-130	'+100
Jaden Ivey	PG	30	'+190	H	DET	LAC	23rd	ast	3.5	3.9	4.62 - 3.59	3.94 - 3.77	57%	60%	1,5,1,5,4,2,5	0%	-110	-120
Jaden Ivey	PG	30	'+190	H	DET	LAC	13th	pts+ast	18.5	19.4	18.5 - 19.77	18.35 - 20.85	57%	60%	19,35,20,10,17,18,15	0%	-115	-115
Alperen Sengun	C	26	'+250	A	HOU	CHI	9th	pts+reb	22.5	23.1	23.71 - 22.9	22.53 - 23.77	57%	60%	25,26,18,17,26,16,27	31%	-105	-125
Isaiah Stewart	C	27	'+190	H	DET	LAC	8th	blk	0.5	0.7	0.67 - 0.76	0.75 - 0.73	56%	60%	0,1,1,0,2,0,2	71%	-110	-120
Darius Garland	PG	36	-125	H	CLE	BKN	7th	pts+reb	22.5	23.5	24.69 - 21.82	19.17 - 27.0	56%	60%	27,18,25,26,14,25,16	57%	-105	-125
Lauri Markkanen	PF	33	'+160	A	UTAH	SA	30th	pts	22.5	22.8	25.94 - 18.71	22.12 - 23.53	56%	60%	21,38,24,18,31,19,21	22%	-130	'+100
Lauri Markkanen	PF	33	'+160	A	UTAH	SA	30th	pts+reb	29.5	30.8	34.56 - 26.07	30.59 - 31.13	56%	60%	26,43,30,22,36,30,27	17%	-110	-120
Lauri Markkanen	PF	33	'+160	A	UTAH	SA	30th	pts+ast	23.5	24.9	28.5 - 20.21	23.82 - 26.07	56%	60%	22,39,25,20,34,20,23	20%	-120	-110
Zach Lavine	SG	34	-300	H	CHI	HOU	27th	3ptm	2.5	2.7	3.33 - 2.27	2.62 - 2.86	56%	60%	1,3,3,3,2,1,2	46%	-120	-110
Bojan Bogdanovic	SF	30	'+190	H	DET	LAC	12th	reb+ast	5.5	6.0	7.5 - 5.56	6.67 - 5.27	55%	60%	8,6,5,4,8,6,4	52%	-135	'+105
Evan Mobley	PF	34	-125	H	CLE	BKN	5th	pts+reb+ast	25.5	26.5	26.14 - 27.18	26.73 - 26.28	55%	60%	11,23,29,27,27,34,36	55%	-105	-125
Jaden Mcdaniels	PF	30	'+130	A	MIN	MIA	23rd	stl+blk	1.5	2.2	2.67 - 1.64	2.71 - 1.67	55%	60%	0,0,3,3,3,2,1	54%	-175	'+140
Demar Derozan	SF	35	-300	H	CHI	HOU	15th	pts	26.5	25.9	24.15 - 27.11	28.59 - 22.57	55%	60%	28,24,29,14,32,34,28	45%	-105	-125
Demar Derozan	SF	35	-300	H	CHI	HOU	17th	ast	4.5	4.7	5.38 - 4.22	5.29 - 4.0	55%	60%	5,5,6,4,2,8,5	54%	-155	'+125
Demar Derozan	SF	35	-300	H	CHI	HOU	21st	pts+reb	31.5	30.9	29.77 - 31.67	33.76 - 27.36	55%	60%	34,29,33,18,37,47,37	45%	-115	-115
Demar Derozan	SF	35	-300	H	CHI	HOU	16th	pts+ast	31.5	30.6	29.54 - 31.33	33.88 - 26.57	55%	60%	33,29,35,18,34,42,33	46%	-110	-120
Jalen Green	SG	34	'+250	A	HOU	CHI	19th	reb+ast	7.5	7.8	9.22 - 7.27	7.06 - 8.67	55%	60%	9,3,9,6,11,10,5	30%	-120	-110
Nikola Vucevic	C	32	-300	H	CHI	HOU	8th	ast	2.5	2.9	3.31 - 2.67	2.24 - 3.79	55%	60%	2,2,5,4,5,1,4	58%	-140	'+110
Trey Murphy Iii	SG	28	-250	H	NO	IND	15th	stl+blk	1.5	1.6	1.94 - 1.17	1.54 - 1.69	55%	60%	2,0,2,1,2,3,0	24%	-105	-125
Pj Washington	PF	31	'+175	A	CHA	POR	3rd	reb	4.5	4.8	5.5 - 4.61	4.88 - 4.79	55%	60%	3,9,6,5,4,5,5	67%	-130	'+100
Jarrett Allen	C	33	-125	H	CLE	BKN	20th	pts	13.5	14.1	15.0 - 11.71	13.27 - 14.73	54%	60%	19,20,8,7,14,16,21	66%	-130	'+100
Alperen Sengun	C	26	'+250	A	HOU	CHI	12th	pts+reb+ast	24.5	25.4	26.57 - 25.0	24.47 - 26.46	54%	60%	31,29,18,19,28,19,29	34%	-125	-105
Jusuf Nurkic	C	28	-205	H	POR	CHA	8th	stl	0.5	0.7	0.6 - 0.85	0.73 - 0.69	54%	60%	1,0,1,0,1,0,2	67%	-150	'+120
Jordan Clarkson	PG	32	'+160	A	UTAH	SA	24th	pts+reb+ast	29.5	28.5	30.53 - 25.87	28.12 - 28.82	53%	60%	33,30,25,17,49,15,26	28%	-120	-110
Tre Jones	PG	30	-190	H	SA	UTAH	22nd	pts+reb+ast	22.5	22.7	24.0 - 22.1	20.46 - 24.47	53%	60%	24,27,21,20,24,18,34	35%	-125	-105
Donovan Mitchell	SG	36	-125	H	CLE	BKN	30th	3ptm	3.5	3.9	4.05 - 3.56	3.57 - 4.2	52%	60%	3,4,1,8,6,2,4	44%	-105	-125
Keldon Johnson	SF	32	-190	H	SA	UTAH	2nd	pts+ast	24.5	24.0	28.0 - 21.94	22.27 - 25.12	52%	60%	25,27,23,23,33,29,18	18%	-110	-120
