"","full_name","position","team","targets","rec","rec_yards","air_yards","yac","td","adot","racr","ms_air","tgt_share","wopr","ppr"
"260","Benny Snell","RB","PIT",0,0,0,0,0,0,NA,NA,0,0,0,2.3
"261","Chris Hogan","WR","CAR",2,1,12,13,2,0,6.5,0.92,0.02,0.02,0.05,2.2
"262","Jake Kumerow","WR","GB",1,1,12,6,6,0,6,2,0.02,0.03,0.06,2.2
"263","Russell Gage","WR","ATL",3,1,13,41,0,0,13.7,0.32,0.05,0.03,0.09,2.2
"264","Darius Jennings","WR","TEN",1,1,11,7,4,0,7,1.57,0.02,0.02,0.05,2.1
"265","Seth Roberts","WR","BAL",1,1,10,5,5,0,5,2,0.02,0.04,0.07,2
"266","Darren Fells","TE","HOU",4,1,9,29,7,0,7.2,0.31,0.04,0.07,0.13,1.9
"267","Lee Smith","TE","BUF",1,1,8,6,2,0,6,1.33,0.01,0.01,0.03,1.8
"268","Tavon Austin","WR","DAL",1,1,8,6,2,0,6,1.33,0.02,0.03,0.06,1.8
"269","Blake Bell","TE","KC",2,1,7,39,0,0,19.5,0.18,0.05,0.03,0.08,1.7
"270","Dante Pettis","WR","SF",1,1,7,2,1,0,2,3.5,0.01,0.02,0.03,1.7
"271","Dwayne Harris","WR","OAK",1,1,7,0,7,0,0,Inf,0,0.02,0.02,1.7
"272","Logan Thomas","TE","DET",1,1,7,5,2,0,5,1.4,0.02,0.03,0.06,1.7
"273","Troy Fumagalli","TE","DEN",1,1,7,5,2,0,5,1.4,0.02,0.02,0.04,1.7
"274","Auden Tate","WR","CIN",2,1,6,0,6,0,0,Inf,0,0.05,0.07,1.6
"275","De'Anthony Thomas","WR","KC",1,1,6,3,3,0,3,2,0.01,0.02,0.04,1.6
"276","Nick O'Leary","TE","MIA",1,1,6,3,3,0,3,2,0.01,0.03,0.04,1.6
"277","Darwin Thompson","RB","KC",1,1,3,0,3,0,0,Inf,0,0.01,0.02,1.4
"278","Demetrius Harris","TE","CLE",2,1,4,10,0,0,5,0.4,0.01,0.03,0.05,1.4
"279","J.J. Arcega-Whiteside","WR","PHI",4,1,4,90,0,0,22.5,0.04,0.12,0.05,0.15,1.4
"280","Luke Stocker","TE","ATL",2,1,4,3,4,0,1.5,1.33,0,0.02,0.04,1.4
"281","Mo Alie-Cox","TE","IND",2,1,3,8,0,0,4,0.38,0.03,0.04,0.07,1.3
"282","Ryan Izzo","TE","NE",2,1,3,9,1,0,4.5,0.33,0.01,0.03,0.06,1.3
"283","Anthony Miller","WR","CHI",2,1,2,25,6,0,12.5,0.08,0.04,0.03,0.07,1.2
"284","Ameer Abdullah","RB","MIN",0,0,0,0,0,0,NA,NA,0,0,0,1
"285","Nick Bawden","RB","DET",1,1,0,-1,1,0,-1,0,0,0.01,0.02,1
"286","DeAndre Carter","WR","HOU",1,1,-1,-4,3,0,-4,0.25,-0.01,0.02,0.02,0.9
"287","Demaryius Thomas","WR","NYJ",2,1,-1,13,2,0,6.5,-0.08,0.08,0.06,0.15,0.9
"288","Irv Smith","TE","MIN",2,1,-1,-3,1,0,-1.5,0.33,-0.01,0.06,0.09,0.9
"289","Josh Hill","TE","NO",1,1,-2,3,2,0,3,-0.67,0.01,0.02,0.04,0.8
"290","Brandon Bolden","RB","NE",0,0,0,0,0,0,NA,NA,0,0,0,0.7
"291","Ryquell Armstead","RB","JAC",1,0,0,-4,0,0,-4,0,-0.02,0.03,0.03,0.7
"292","Quincy Enunwa","WR","NYJ",3,1,-4,47,-4,0,15.7,-0.09,0.21,0.07,0.26,0.6
"293","Deonte Harris","WR","NO",1,1,-7,-4,-3,0,-4,1.75,-0.01,0.01,0.01,0.3
"294","Elijhaa Penny","RB","NYG",0,0,0,0,0,0,NA,NA,0,0,0,0.3
"295","Andy Isabella","WR","ARI",0,0,0,0,0,0,NA,NA,0,0,0,0
"296","Antony Auclair","TE","TB",0,0,0,0,0,0,NA,NA,0,0,0,0
"297","Bobo Wilson","WR","TB",1,0,0,9,0,0,9,0,0.01,0.02,0.03,0
"298","Braxton Berrios","WR","NYJ",0,0,0,0,0,0,NA,NA,0,0,0,0
"299","Buddy Howell","RB","HOU",0,0,0,0,0,0,NA,NA,0,0,0,0
"300","Byron Pringle","WR","KC",0,0,0,0,0,0,NA,NA,0,0,0,0
"301","Ced Wilson","WR","DAL",0,0,0,0,0,0,NA,NA,0,0,0,0
"302","Cethan Carter","TE","CIN",0,0,0,0,0,0,NA,NA,0,0,0,0
"303","Chris Manhertz","TE","CAR",0,0,0,0,0,0,NA,NA,0,0,0,0
"304","Corey Clement","RB","PHI",0,0,0,0,0,0,NA,NA,0,0,0,0
"305","Cullen Gillaspia","RB","HOU",0,0,0,0,0,0,NA,NA,0,0,0,0
"306","Darrell Henderson","RB","LA",0,0,0,0,0,0,NA,NA,0,0,0,0
"307","David Fluellen","RB","TEN",0,0,0,0,0,0,NA,NA,0,0,0,0
"308","Diontae Spencer","WR","DEN",0,0,0,0,0,0,NA,NA,0,0,0,0
"309","Geremy Davis","WR","LAC",0,0,0,0,0,0,NA,NA,0,0,0,0
"310","Gunner Olszewski","WR","NE",0,0,0,0,0,0,NA,NA,0,0,0,0
"311","Ian Thomas","TE","CAR",1,0,0,-2,0,0,-2,0,-0.01,0.03,0.03,0
"312","J.P. Holtz","TE","WAS",0,0,0,0,0,0,NA,NA,0,0,0,0
"313","Jamize Olawale","RB","DAL",1,0,0,37,0,0,37,0,0.07,0.02,0.07,0
"314","Jaron Brown","WR","SEA",0,0,0,0,0,0,NA,NA,0,0,0,0
"315","Javon Wims","WR","CHI",2,0,0,27,0,0,13.5,0,0.07,0.04,0.12,0
"316","Johnny Holton","WR","PIT",3,0,0,87,0,0,29,0,0.12,0.04,0.14,0
"317","JoJo Natson","WR","LA",0,0,0,0,0,0,NA,NA,0,0,0,0
"318","Josh Reynolds","WR","LA",3,0,0,8,0,0,2.7,0,0.02,0.04,0.08,0
"319","Keelan Cole","WR","JAC",0,0,0,0,0,0,NA,NA,0,0,0,0
"320","Kenjon Barner","RB","ATL",0,0,0,0,0,0,NA,NA,0,0,0,0
"321","KhaDarel Hodge","WR","CLE",0,0,0,0,0,0,NA,NA,0,0,0,0
"322","Matthew Slater","WR","NE",0,0,0,0,0,0,NA,NA,0,0,0,0
"323","MyCole Pruitt","TE","TEN",1,0,0,0,0,0,0,NA,0,0.04,0.06,0
"324","Nick Bellore","RB","SEA",0,0,0,0,0,0,NA,NA,0,0,0,0
"325","Pharaoh Brown","TE","CLE",1,0,0,14,0,0,14,0,0.02,0.01,0.03,0
"326","Ray-Ray McCloud","WR","CAR",0,0,0,0,0,0,NA,NA,0,0,0,0
"327","Reggie Bonnafon","RB","CAR",0,0,0,0,0,0,NA,NA,0,0,0,0
"328","Robert Foster","WR","BUF",2,0,0,40,0,0,20,0,0.15,0.07,0.2,0
"329","Ross Dwelley","TE","SF",0,0,0,0,0,0,NA,NA,0,0,0,0
"330","Samaje Perine","RB","CIN",0,0,0,0,0,0,NA,NA,0,0,0,0
"331","Sean Culkin","TE","LAC",0,0,0,0,0,0,NA,NA,0,0,0,0
"332","T.J. Logan","RB","TB",0,0,0,0,0,0,NA,NA,0,0,0,0
"333","Taiwan Jones","RB","HOU",0,0,0,0,0,0,NA,NA,0,0,0,0
"334","Taywan Taylor","WR","CLE",1,0,0,33,0,0,33,0,0.1,0.03,0.11,0
"335","Tim Patrick","WR","DEN",0,0,0,0,0,0,NA,NA,0,0,0,0
"336","Trent Sherfield","WR","ARI",0,0,0,0,0,0,NA,NA,0,0,0,0
"337","Trenton Cannon","RB","NYJ",0,0,0,0,0,0,NA,NA,0,0,0,0
"338","Tyler Ervin","RB","JAC",0,0,0,0,0,0,NA,NA,0,0,0,0
"339","Xavier Grimble","TE","PIT",1,0,0,4,0,0,4,0,0.02,0.03,0.05,0
"340","Zach Pascal","WR","IND",0,0,0,0,0,0,NA,NA,0,0,0,0
