NAME	TEAM	ML	A/H	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L5 % OVER	LAST 10 GAMES	LAST YR % OVER	OVER	UNDER
Nicklas Backstrom	WSH	-245	H	g	0.5	0.18	0.18 - 0.17	0.2 - 0.15	18%	40%	0,1,0,0,1,0,0,0,0,0	15%	'+285	0
Pius Suter	DET	'+120	A	g	0.5	0.2	0.24 - 0.13	0.26 - 0.12	18%	40%	1,1,0,0,0,0,0,0,0,0	16%	'+450	0
Brandon Montour	FLA	-170	A	g	0.5	0.18	0.24 - 0.11	0.18 - 0.18	18%	20%	0,0,0,0,1,0,0,1,0,0	13%	'+390	0
Morgan Frost	PHI	'+145	H	g	0.5	0.19	0.21 - 0.16	0.18 - 0.21	18%	20%	0,0,1,0,0,1,0,0,0,0	9%	'+275	0
Eric Staal	FLA	-170	A	g	0.5	0.22	0.27 - 0.12	0.1 - 0.32	18%	20%	1,0,0,0,0,0,0,0,1,0	0%	'+330	0
Philip Tomasino	NSH	'+130	A	g	0.5	0.18	0.53 - 0.0	0.22 - 0.12	18%	20%	0,0,0,0,1,0,0,1,0,0	0%	'+260	0
Jack Quinn	BUF	-150	H	g	0.5	0.21	0.26 - 0.12	0.13 - 0.29	18%	20%	0,0,0,1,0,0,0,0,1,0	50%	'+270	0
Jordan Gross	NSH	'+130	A	g	0.5	0.27	1.03 - 0.0	0.25 - 0.33	18%	20%	0,1,0,0,0,0,0,0,0,2	0%	'+600	0
Sheldon Dries	VAN	'+115	H	g	0.5	0.18	0.15 - 0.2	0.27 - 0.11	18%	20%	0,0,0,0,1,0,0,0,0,1	18%	'+380	0
Phillip Di Giuseppe	VAN	'+115	H	g	0.5	0.18	0.21 - 0.16	0.11 - 0.25	18%	20%	0,0,0,1,0,0,0,0,0,1	0%	'+400	0
Derick Brassard	OTT	'+245	A	g	0.5	0.19	0.31 - 0.06	0.25 - 0.14	18%	0%	0,0,0,0,0,0,0,0,2,0	15%	'+550	0
Brent Burns	CAR	-105	A	g	0.5	0.18	0.23 - 0.09	0.21 - 0.15	18%	0%	0,0,0,0,0,0,0,0,0,0	12%	'+450	0
Noah Dobson	NYI	'+100	H	g	0.5	0.18	0.14 - 0.19	0.15 - 0.21	18%	0%	0,0,0,0,0,0,0,0,0,1	17%	'+360	0
Jesse Ylonen	MTL	'+215	H	g	0.5	0.17	0.26 - 0.09	0.29 - 0.07	17%	60%	1,0,1,1,0,0,0,0,0,0	0%	'+425	0
Tyler Motte	NYR	-115	H	g	0.5	0.17	0.22 - 0.0	0.0 - 0.29	17%	40%	1,0,1,0,0,0,0,0,0,0	0%	'+450	0
Kiefer Sherwood	NSH	'+130	A	g	0.5	0.17	0.35 - 0.0	0.08 - 0.33	17%	40%	0,0,0,1,1,0,0,0,0,0	11%	'+310	0
Jean-Gabriel Pageau	NYI	'+100	H	g	0.5	0.2	0.31 - 0.11	0.26 - 0.14	17%	40%	1,0,1,0,0,0,0,0,0,0	22%	'+360	0
Kasperi Kapanen	STL	-140	H	g	0.5	0.21	0.34 - 0.08	0.19 - 0.22	17%	40%	1,1,0,0,0,0,0,1,1,0	12%	'+280	0
Travis Boyd	ARI	'+250	A	g	0.5	0.2	0.42 - 0.07	0.11 - 0.29	17%	40%	0,2,1,0,0,0,2,0,0,0	23%	'+450	0
Garnet Hathaway	BOS	-295	H	g	0.5	0.17	0.2 - 0.0	0.12 - 0.25	17%	20%	1,0,0,0,0,1,0,0,0,0	0%	'+390	0
Frederick Gaudreau	MIN	'+150	A	g	0.5	0.19	0.27 - 0.05	0.18 - 0.19	17%	20%	0,0,0,0,1,1,0,0,0,0	17%	'+360	0
Aaron Ekblad	FLA	-170	A	g	0.5	0.2	0.27 - 0.13	0.17 - 0.23	17%	20%	0,0,2,0,0,0,1,0,0,0	20%	'+350	0
Cody Glass	NSH	'+130	A	g	0.5	0.17	0.2 - 0.12	0.1 - 0.24	17%	20%	0,1,0,0,0,0,1,0,0,0	0%	'+195	0
Samuel Bolduc	NYI	'+100	H	g	0.5	0.17	0.27 - 0.0	0.0 - 0.25	17%	20%	0,1,0,0,0,0	0%	'+750	0
Ivan Barbashev	VGK	-135	A	g	0.5	0.2	0.33 - 0.08	0.23 - 0.17	17%	20%	0,0,2,0,0,0,0,2,0,0	27%	'+215	0
Jakob Chychrun	OTT	'+245	A	g	0.5	0.2	0.33 - 0.13	0.19 - 0.2	17%	0%	0,0,0,0,0,0,1,0,1,0	11%	'+450	0
Alex Belzile	MTL	'+215	H	g	0.5	0.17	0.12 - 0.2	0.08 - 0.25	17%	0%	0,0,0,0,0,1,1,1,0,0	0%	'+500	0
Conor Sheary	WSH	-245	H	g	0.5	0.17	0.15 - 0.18	0.19 - 0.15	17%	0%	0,0,0,0,0,0,0,0,0,0	22%	'+285	0
Kaapo Kakko	NYR	-115	H	g	0.5	0.17	0.25 - 0.06	0.21 - 0.14	17%	0%	0,0,0,0,0,0,0,0,0,0	12%	'+360	0
Yegor Sharangovich	NJ	-175	H	g	0.5	0.19	0.25 - 0.09	0.28 - 0.09	17%	0%	0,0,0,0,0,0,0,0,0,0	24%	'+265	0
Wade Allison	PHI	'+145	H	g	0.5	0.17	0.26 - 0.11	0.13 - 0.21	17%	0%	0,0,0,0,0,0,0,0,1,0	0%	'+380	0
Joel Farabee	PHI	'+145	H	g	0.5	0.16	0.23 - 0.1	0.17 - 0.15	16%	40%	1,1,0,0,0,0,0,0,0,0	28%	'+275	0
Hudson Fasching	NYI	'+100	H	g	0.5	0.16	0.2 - 0.1	0.17 - 0.15	16%	40%	0,1,0,0,1,1,0,0,0,0	0%	'+450	0
Thomas Chabot	OTT	'+245	A	g	0.5	0.16	0.24 - 0.09	0.16 - 0.16	16%	20%	1,0,0,0,0,0,0,0,0,0	9%	'+550	0
Barclay Goodrow	NYR	-115	H	g	0.5	0.16	0.17 - 0.13	0.21 - 0.11	16%	20%	0,0,0,0,1,0,0,0,0,0	14%	'+450	0
Noah Cates	PHI	'+145	H	g	0.5	0.16	0.27 - 0.08	0.23 - 0.09	16%	20%	1,0,0,0,0,0,1,0,0,0	25%	'+330	0
Yakov Trenin	NSH	'+130	A	g	0.5	0.16	0.21 - 0.09	0.18 - 0.14	16%	20%	0,0,0,0,1,0,0,0,0,0	22%	'+500	0
Corey Perry	TB	-255	A	g	0.5	0.17	0.26 - 0.04	0.09 - 0.25	16%	0%	0,0,0,0,0,0,0,0,0,0	21%	'+300	0
Sonny Milano	WSH	-245	H	g	0.5	0.18	0.27 - 0.09	0.1 - 0.26	16%	0%	0,0,0,0,0,0,0,1,1,0	20%	'+265	0
Seth Jarvis	CAR	-105	A	g	0.5	0.19	0.3 - 0.0	0.12 - 0.26	16%	0%	0,0,0,0,0,0,0,0,0,0	21%	'+225	0
Ondrej Palat	NJ	-175	H	g	0.5	0.21	0.26 - 0.08	0.15 - 0.28	16%	0%	0,0,0,0,0,0,0,1,0,0	25%	'+285	0
Tony Deangelo	PHI	'+145	H	g	0.5	0.16	0.28 - 0.1	0.24 - 0.09	16%	0%	0,0,0,0,0,0,0,0,0,1	14%	'+380	0
Colton Sissons	NSH	'+130	A	g	0.5	0.16	0.23 - 0.09	0.17 - 0.15	16%	0%	0,0,0,0,0,0,0,1,1,0	9%	'+310	0
Josh Morrissey	WPG	-300	H	g	0.5	0.22	0.34 - 0.06	0.06 - 0.37	16%	0%	0,0,0,0,0,0,2,0,2,0	15%	'+310	0
Alex Wennberg	SEA	'+140	A	g	0.5	0.17	0.28 - 0.03	0.29 - 0.06	16%	0%	0,0,0,0,0,0,1,1,0,0	14%	'+370	0
Shea Theodore	VGK	-135	A	g	0.5	0.16	0.18 - 0.11	0.19 - 0.12	16%	0%	0,0,0,0,0,0,1,1,0,0	15%	'+450	0
Conor Garland	VAN	'+115	H	g	0.5	0.16	0.07 - 0.24	0.24 - 0.09	16%	0%	0,0,0,0,0,0,0,0,0,0	25%	'+290	0
Hampus Lindholm	BOS	-295	H	g	0.5	0.15	0.17 - 0.06	0.2 - 0.09	15%	60%	1,0,0,1,1,0,0,0,0,0	6%	'+475	0
Rasmus Andersson	CGY	-215	A	g	0.5	0.15	0.3 - 0.02	0.12 - 0.18	15%	40%	0,1,0,0,1,0,0,1,0,0	7%	'+475	0
Julien Gauthier	OTT	'+245	A	g	0.5	0.15	0.15 - 0.12	0.12 - 0.2	15%	20%	0,1,0,0,0,0,0,0,0,0	7%	'+600	0
Nathan Bastian	NJ	-175	H	g	0.5	0.15	0.15 - 0.12	0.19 - 0.11	15%	20%	0,1,0,0,0,0,1,1,0,0	15%	'+425	0
Tyson Jost	BUF	-150	H	g	0.5	0.15	0.14 - 0.11	0.16 - 0.13	15%	20%	1,0,0,0,0,1,0,0,0,0	11%	'+450	0
Noel Acciari	TOR	-120	A	g	0.5	0.23	0.23 - 0.17	0.14 - 0.33	15%	20%	0,0,0,2,0,0,0,0,0,0	0%	'+450	0
Adam Erne	DET	'+120	A	g	0.5	0.15	0.15 - 0.16	0.08 - 0.21	15%	20%	0,0,0,1,0,0,0,0,1,0	8%	'+500	0
Jack Mcbain	ARI	'+250	A	g	0.5	0.16	0.27 - 0.07	0.1 - 0.22	15%	20%	0,0,0,0,1,1,0,1,0,0	20%	'+390	0
Yanni Gourde	SEA	'+140	A	g	0.5	0.16	0.23 - 0.07	0.18 - 0.14	15%	20%	0,0,1,0,0,0,1,0,0,0	30%	'+370	0
Alex Pietrangelo	VGK	-135	A	g	0.5	0.15	0.22 - 0.04	0.19 - 0.12	15%	20%	0,0,0,1,0,0,0,0,0,0	16%	'+400	0
Stefan Noesen	CAR	-105	A	g	0.5	0.15	0.17 - 0.1	0.09 - 0.22	15%	0%	0,0,0,0,0,0,0,0,0,0	0%	'+370	0
Miles Wood	NJ	-175	H	g	0.5	0.17	0.16 - 0.12	0.18 - 0.15	15%	0%	0,0,0,0,0,0,1,1,0,0	0%	'+380	0
Anton Lundell	FLA	-170	A	g	0.5	0.15	0.18 - 0.09	0.17 - 0.13	15%	0%	0,0,0,0,0,0,0,0,1,0	23%	'+240	0
Calle Rosen	STL	-140	H	g	0.5	0.18	0.24 - 0.12	0.06 - 0.27	15%	0%	0,0,0,0,0,0,2,0,0,0	4%	'+450	0
Christian Fischer	ARI	'+250	A	g	0.5	0.16	0.11 - 0.18	0.19 - 0.12	15%	0%	0,0,0,0,0,1,0,0,0,0	10%	'+500	0
Jamie Oleksiak	SEA	'+140	A	g	0.5	0.15	0.15 - 0.11	0.06 - 0.23	15%	0%	0,0,0,0,0,1,0,0,0,1	1%	'+750	0
Andrew Mangiapane	CGY	-215	A	g	0.5	0.17	0.25 - 0.09	0.11 - 0.24	15%	0%	0,0,0,0,0,0,0,0,0,0	36%	'+230	0
Gustav Forsling	FLA	-170	A	g	0.5	0.14	0.22 - 0.05	0.23 - 0.06	14%	40%	1,0,1,0,0,0,0,0,0,0	11%	'+600	0
Max Comtois	ANA	'+185	H	g	0.5	0.14	0.23 - 0.08	0.21 - 0.07	14%	40%	0,1,0,0,1,0,1,0,0,0	10%	'+380	0
Evgeny Kuznetsov	WSH	-245	H	g	0.5	0.17	0.27 - 0.1	0.08 - 0.26	14%	20%	0,0,1,0,0,0,0,0,0,0	26%	'+190	0
Colin White	FLA	-170	A	g	0.5	0.14	0.09 - 0.16	0.23 - 0.07	14%	20%	0,0,1,0,0,0,0,0,0,0	12%	'+390	0
Ryan Lomberg	FLA	-170	A	g	0.5	0.14	0.2 - 0.08	0.09 - 0.2	14%	20%	0,0,1,0,0,1,0,0,0,0	16%	'+500	0
John-Jason Peterka	BUF	-150	H	g	0.5	0.14	0.16 - 0.1	0.1 - 0.18	14%	20%	0,1,0,0,0,0,0,0,1,0	0%	'+360	0
Nick Ritchie	CGY	-215	A	g	0.5	0.17	0.24 - 0.12	0.22 - 0.11	14%	20%	0,1,0,0,0,1,0,0,0,0	18%	'+260	0
Adam Fox	NYR	-115	H	g	0.5	0.14	0.19 - 0.07	0.09 - 0.19	14%	0%	0,0,0,0,0,0,0,0,0,0	17%	'+425	0
Teuvo Teravainen	CAR	-105	A	g	0.5	0.17	0.23 - 0.05	0.0 - 0.32	14%	0%	0,0,0,0,0,0,0,3,0,0	26%	'+300	0
Sam Steel	MIN	'+150	A	g	0.5	0.14	0.2 - 0.04	0.07 - 0.21	14%	0%	0,0,0,0,0,0,0,0,0,0	6%	'+390	0
Mark Jankowski	NSH	'+130	A	g	0.5	0.14	0.14 - 0.1	0.13 - 0.15	14%	0%	0,0,0,0,0,0,0,0,0,1	12%	'+450	0
Pontus Holmberg	TOR	-120	A	g	0.5	0.14	0.18 - 0.07	0.19 - 0.1	14%	0%	0,0,0,0,0,0,0,1,0,0	0%	'+500	0
Jake Walman	DET	'+120	A	g	0.5	0.14	0.2 - 0.09	0.12 - 0.16	14%	0%	0,0,0,0,0,1,0,0,1,0	6%	'+500	0
Matias Maccelli	ARI	'+250	A	g	0.5	0.13	0.12 - 0.12	0.07 - 0.2	13%	40%	1,0,1,0,0,0,0,1,0,0	4%	'+450	0
Jakub Lauko	BOS	-295	H	g	0.5	0.2	0.19 - 0.0	0.09 - 0.5	13%	20%	0,0,0,2,0,0,0,0,0,1	0%	'+475	0
Rem Pitlick	MTL	'+215	H	g	0.5	0.13	0.27 - 0.07	0.16 - 0.11	13%	20%	0,1,0,0,0,0,0,0,0,0	18%	'+500	0
Jimmy Vesey	NYR	-115	H	g	0.5	0.14	0.17 - 0.08	0.12 - 0.17	13%	20%	0,0,0,1,0,0,0,0,0,0	11%	'+425	0
Jared Spurgeon	MIN	'+150	A	g	0.5	0.14	0.19 - 0.06	0.21 - 0.08	13%	20%	0,0,0,0,1,0,0,0,0,0	13%	'+475	0
Zemgus Girgensons	BUF	-150	H	g	0.5	0.13	0.11 - 0.12	0.22 - 0.06	13%	20%	0,0,1,0,0,0,0,0,0,0	15%	'+550	0
Josh Bailey	NYI	'+100	H	g	0.5	0.13	0.2 - 0.07	0.18 - 0.09	13%	20%	0,0,0,1,0,1,0,0,0,0	17%	'+450	0
Adam Lowry	WPG	-300	H	g	0.5	0.13	0.17 - 0.06	0.14 - 0.11	13%	20%	0,1,0,0,0,0,0,0,1,0	17%	'+370	0
Miro Heiskanen	DAL	-165	H	g	0.5	0.15	0.24 - 0.03	0.09 - 0.22	13%	20%	0,0,0,0,1,0,0,1,0,1	9%	'+450	0
Radek Faksa	DAL	-165	H	g	0.5	0.16	0.21 - 0.07	0.14 - 0.18	13%	20%	1,0,0,0,0,2,0,1,0,0	8%	'+600	0
Jordan Martinook	CAR	-105	A	g	0.5	0.16	0.21 - 0.04	0.21 - 0.12	13%	0%	0,0,0,0,0,0,0,0,0,0	10%	'+425	0
Casey Mittelstadt	BUF	-150	H	g	0.5	0.14	0.12 - 0.17	0.15 - 0.14	13%	0%	0,0,0,0,0,0,0,0,0,1	15%	'+310	0
Tyson Barrie	NSH	'+130	A	g	0.5	0.15	0.27 - 0.06	0.14 - 0.18	13%	0%	0,0,0,0,0,0,0,0,1,0	10%	'+600	0
Jakob Pelletier	CGY	-215	A	g	0.5	0.13	0.21 - 0.07	0.25 - 0.0	13%	0%	0,0,0,0,0,0,0,0,0,0	0%	'+280	0
Jakob Silfverberg	ANA	'+185	H	g	0.5	0.14	0.21 - 0.1	0.17 - 0.12	13%	0%	0,0,0,0,0,0,0,1,0,1	8%	'+310	0
Nikita Zadorov	CGY	-215	A	g	0.5	0.13	0.11 - 0.12	0.14 - 0.12	13%	0%	0,0,0,0,0,0,0,1,0,0	5%	'+425	0
Andrew Copp	DET	'+120	A	g	0.5	0.12	0.18 - 0.05	0.09 - 0.14	12%	40%	0,0,0,1,1,0,0,0,0,0	23%	'+295	0
Max Jones	ANA	'+185	H	g	0.5	0.12	0.2 - 0.07	0.06 - 0.21	12%	40%	0,1,1,0,0,0,0,0,0,1	0%	'+400	0
Michael Pezzetta	MTL	'+215	H	g	0.5	0.12	0.0 - 0.16	0.15 - 0.08	12%	20%	0,1,0,0,0,0,1,0,0,0	9%	'+600	0
Nick Blankenburg	CBJ	'+205	A	g	0.5	0.12	0.16 - 0.1	0.06 - 0.19	12%	20%	0,1,0,0,0,0,0,0,0,0	14%	'+600	0
Samuel Walker	MIN	'+150	A	g	0.5	0.12	0.15 - 0.0	0.33 - 0.0	12%	20%	0,0,0,1,0,0,0,0	0%	'+320	0
Jesper Boqvist	NJ	-175	H	g	0.5	0.13	0.18 - 0.04	0.23 - 0.03	12%	20%	0,1,0,0,0,0,0,0,2,0	18%	'+450	0
John Klingberg	MIN	'+150	A	g	0.5	0.12	0.17 - 0.0	0.2 - 0.0	12%	20%	0,0,1,0,0,0,0,0	0%	'+600	0
Morgan Barron	WPG	-300	H	g	0.5	0.12	0.17 - 0.04	0.03 - 0.21	12%	20%	0,0,0,0,1,0,0,0,1,0	7%	'+400	0
Derek Grant	ANA	'+185	H	g	0.5	0.12	0.16 - 0.08	0.15 - 0.07	12%	20%	0,0,0,0,1,0,0,0,0,0	17%	'+500	0
Emil Bemstrom	CBJ	'+205	A	g	0.5	0.12	0.06 - 0.12	0.14 - 0.1	12%	0%	0,0,0,0,0,1,0,0,0,0	15%	'+425	0
Paul Stastny	CAR	-105	A	g	0.5	0.12	0.17 - 0.08	0.1 - 0.15	12%	0%	0,0,0,0,0,1,0,0,0,0	22%	'+450	0
Jordan Greenway	BUF	-150	H	g	0.5	0.12	0.0 - 0.13	0.0 - 0.25	12%	0%	0,0,0,0,0,1,0,0	0%	'+310	0
Austin Czarnik	DET	'+120	A	g	0.5	0.12	0.24 - 0.08	0.1 - 0.14	12%	0%	0,0,0,0,0,0,0,0,0,0	12%	'+500	0
Torey Krug	STL	-140	H	g	0.5	0.12	0.21 - 0.03	0.03 - 0.23	12%	0%	0,0,0,0,0,1,0,0,0,0	15%	'+500	0
Dakota Joshua	VAN	'+115	H	g	0.5	0.14	0.22 - 0.06	0.12 - 0.16	12%	0%	0,0,0,0,0,0,1,0,0,0	7%	'+500	0
Jacob Trouba	NYR	-115	H	g	0.5	0.11	0.16 - 0.03	0.09 - 0.14	11%	40%	0,1,0,1,0,0,1,0,1,0	12%	'+650	0
Charlie Mcavoy	BOS	-295	H	g	0.5	0.11	0.13 - 0.07	0.13 - 0.08	11%	20%	1,0,0,0,0,0,0,0,0,1	9%	'+475	0
Tomas Nosek	BOS	-295	H	g	0.5	0.11	0.14 - 0.0	0.08 - 0.14	11%	20%	0,0,1,0,0,0,0,1,0,0	4%	'+360	0
Victor Hedman	TB	-255	A	g	0.5	0.11	0.13 - 0.07	0.06 - 0.15	11%	20%	0,1,0,0,0,0,0,0,1,0	18%	'+390	0
Joe Snively	WSH	-245	H	g	0.5	0.11	0.0 - 0.12	0.0 - 0.2	11%	20%	0,0,1,0,0,0,0,0,0	25%	'+370	0
Nicolas Aube-Kubel	WSH	-245	H	g	0.5	0.11	0.08 - 0.1	0.17 - 0.05	11%	20%	0,0,0,1,0,0,0,1,0,0	12%	'+370	0
Martin Fehervary	WSH	-245	H	g	0.5	0.11	0.13 - 0.09	0.14 - 0.07	11%	20%	0,1,0,0,0,1,0,0,0,0	11%	'+600	0
Mason Shaw	MIN	'+150	A	g	0.5	0.11	0.12 - 0.05	0.17 - 0.07	11%	20%	0,0,1,0,0,1,0,0,0,0	0%	'+600	0
Jake Mccabe	TOR	-120	A	g	0.5	0.11	0.16 - 0.0	0.2 - 0.0	11%	20%	1,0,0,0,0,0,0,0,0	0%	'+950	0
Neal Pionk	WPG	-300	H	g	0.5	0.13	0.13 - 0.12	0.25 - 0.0	11%	20%	0,1,0,0,0,0,0,0,0,0	4%	'+500	0
Nate Schmidt	WPG	-300	H	g	0.5	0.11	0.11 - 0.11	0.1 - 0.13	11%	20%	0,0,0,0,1,0,0,1,0,0	4%	'+500	0
Trevor Lewis	CGY	-215	A	g	0.5	0.11	0.16 - 0.08	0.11 - 0.12	11%	20%	0,0,0,0,1,0,0,0,0,0	8%	'+425	0
Scott Harrington	ANA	'+185	H	g	0.5	0.22	0.64 - 0.0	0.0 - 0.33	11%	20%	0,2,0,0,0,0,0,0,0	0%	'+1300	0
Keegan Kolesar	VGK	-135	A	g	0.5	0.11	0.09 - 0.1	0.16 - 0.06	11%	20%	0,1,0,0,0,0,0,0,0,1	7%	'+550	0
Teddy Blueger	VGK	-135	A	g	0.5	0.11	0.15 - 0.0	0.2 - 0.0	11%	20%	0,0,1,0,0,0,0,0,0	0%	'+550	0
Tyler Bertuzzi	BOS	-295	H	g	0.5	0.11	0.09 - 0.14	0.14 - 0.06	11%	0%	0,0,0,0,0,0,0,0,0,1	32%	'+255	0
Justin Barron	MTL	'+215	H	g	0.5	0.11	0.24 - 0.0	0.06 - 0.18	11%	0%	0,0,0,0,0,0,0,1,0,0	14%	'+1100	0
Marcus Bjork	CBJ	'+205	A	g	0.5	0.11	0.0 - 0.17	0.17 - 0.07	11%	0%	0,0,0,0,0,0,0,1,0,0	0%	'+650	0
Jesper Fast	CAR	-105	A	g	0.5	0.12	0.16 - 0.05	0.09 - 0.15	11%	0%	0,0,0,0,0,0,1,0,0,0	17%	'+500	0
Anthony Duclair	FLA	-170	A	g	0.5	0.11	0.16 - 0.0	0.5 - 0.0	11%	0%	0,0,0,0,0,0,0,1,0	0%	'+180	0
Kyle Okposo	BUF	-150	H	g	0.5	0.15	0.2 - 0.09	0.1 - 0.19	11%	0%	0,0,0,0,0,1,1,0,0,0	26%	'+400	0
Peyton Krebs	BUF	-150	H	g	0.5	0.13	0.17 - 0.08	0.17 - 0.09	11%	0%	0,0,0,0,0,0,0,0,0,0	9%	'+450	0
Nikita Alexandrov	STL	-140	H	g	0.5	0.11	0.07 - 0.13	0.12 - 0.09	11%	0%	0,0,0,0,0,0,0,0,0,0	0%	'+450	0
Vladislav Namestnikov	WPG	-300	H	g	0.5	0.22	0.39 - 0.0	0.4 - 0.0	11%	0%	0,0,0,0,0,2,0,0,0	0%	'+370	0
Ty Dellandrea	DAL	-165	H	g	0.5	0.11	0.13 - 0.09	0.14 - 0.09	11%	0%	0,0,0,0,0,0,0,0,0,0	0%	'+380	0
Morgan Geekie	SEA	'+140	A	g	0.5	0.12	0.23 - 0.0	0.14 - 0.1	11%	0%	0,0,0,0,0,0,0,2,0,0	10%	'+550	0
Adam Ruzicka	CGY	-215	A	g	0.5	0.14	0.2 - 0.03	0.11 - 0.18	11%	0%	0,0,0,0,0,0,0,0,0,0	19%	'+390	0
Michael Stone	CGY	-215	A	g	0.5	0.11	0.15 - 0.09	0.19 - 0.04	11%	0%	0,0,0,0,0,1,0,0,0,0	20%	'+700	0
Jack Studnicka	VAN	'+115	H	g	0.5	0.11	0.12 - 0.07	0.16 - 0.06	11%	0%	0,0,0,0,0,0,0,0,0,0	0%	'+500	0
Liam Foudy	CBJ	'+205	A	g	0.5	0.1	0.11 - 0.08	0.19 - 0.0	10%	40%	1,0,0,1,0,1,0,0,0,1	0%	'+500	0
Tyler Pitlick	STL	-140	H	g	0.5	0.1	0.08 - 0.08	0.13 - 0.07	10%	40%	0,1,0,0,1,0,0,0,0,1	3%	'+550	0
Kandre Miller	NYR	-115	H	g	0.5	0.12	0.2 - 0.0	0.06 - 0.17	10%	20%	2,0,0,0,0,0,0,0,0,0	9%	'+650	0
Jaccob Slavin	CAR	-105	A	g	0.5	0.1	0.12 - 0.04	0.16 - 0.03	10%	20%	0,0,1,0,0,0,1,0,1,0	5%	'+1000	0
Aleksi Heponiemi	FLA	-170	A	g	0.5	0.1	0.19 - 0.0	0.12 - 0.0	10%	20%	0,0,0,0,1,0,0,0,0,0	0%	'+425	0
Kieffer Bellows	PHI	'+145	H	g	0.5	0.1	0.25 - 0.08	0.17 - 0.0	10%	20%	0,1,0,0,0,0,0,0,1,0	14%	'+450	0
Axel Jonsson-Fjallby	WPG	-300	H	g	0.5	0.1	0.13 - 0.06	0.14 - 0.05	10%	20%	0,1,0,0,0,0,1,0,0,0	9%	'+400	0
Evgenii Dadonov	DAL	-165	H	g	0.5	0.11	0.12 - 0.1	0.1 - 0.12	10%	20%	0,0,0,1,0,1,0,0,0,0	25%	'+265	0
Brett Leason	ANA	'+185	H	g	0.5	0.1	0.23 - 0.02	0.17 - 0.04	10%	20%	0,1,0,0,0,0,0,0,0,1	10%	'+700	0
Mikey Eyssimont	TB	-255	A	g	0.5	0.1	0.16 - 0.04	0.14 - 0.07	10%	0%	0,0,0,0,0,0,0,0,0,0	0%	'+300	0
Eric Robinson	CBJ	'+205	A	g	0.5	0.13	0.33 - 0.02	0.17 - 0.09	10%	0%	0,0,0,0,0,0,0,0,3,0	13%	'+500	0
Trevor Van Riemsdyk	WSH	-245	H	g	0.5	0.11	0.18 - 0.05	0.12 - 0.1	10%	0%	0,0,0,0,0,1,0,0,0,0	1%	'+650	0
Erik Haula	NJ	-175	H	g	0.5	0.11	0.07 - 0.2	0.14 - 0.09	10%	0%	0,0,0,0,0,0,1,2,0,0	19%	'+425	0
Juuso Parssinen	NSH	'+130	A	g	0.5	0.12	0.17 - 0.04	0.05 - 0.17	10%	0%	0,0,0,0,0,0,0,0,0,0	0%	'+310	0
Simon Holmstrom	NYI	'+100	H	g	0.5	0.1	0.14 - 0.04	0.06 - 0.13	10%	0%	0,0,0,0,0,0,0,0,0,1	0%	'+550	0
Matt Martin	NYI	'+100	H	g	0.5	0.1	0.05 - 0.13	0.14 - 0.06	10%	0%	0,0,0,0,0,0,0,0,0,0	4%	'+650	0
David Kampf	TOR	-120	A	g	0.5	0.1	0.12 - 0.08	0.09 - 0.11	10%	0%	0,0,0,0,0,0,0,0,1,0	13%	'+550	0
Adam Pelech	NYI	'+100	H	g	0.5	0.1	0.1 - 0.09	0.12 - 0.08	10%	0%	0,0,0,0,0,0,0,0,1,1	4%	'+850	0
Justin Faulk	STL	-140	H	g	0.5	0.12	0.13 - 0.1	0.15 - 0.09	10%	0%	0,0,0,0,0,0,0,0,0,0	19%	'+500	0
Joe Veleno	DET	'+120	A	g	0.5	0.1	0.13 - 0.08	0.09 - 0.11	10%	0%	0,0,0,0,0,0,0,0,0,0	13%	'+425	0
Joel Kiviranta	DAL	-165	H	g	0.5	0.1	0.15 - 0.05	0.06 - 0.15	10%	0%	0,0,0,0,0,1,0,0,0,0	2%	'+450	0
Esa Lindell	DAL	-165	H	g	0.5	0.1	0.18 - 0.0	0.14 - 0.06	10%	0%	0,0,0,0,0,0,0,0,1,0	5%	'+650	0
Nils Lundkvist	DAL	-165	H	g	0.5	0.1	0.16 - 0.04	0.03 - 0.17	10%	0%	0,0,0,0,0,1,0,0,0,0	4%	'+750	0
Cam Fowler	ANA	'+185	H	g	0.5	0.13	0.18 - 0.1	0.19 - 0.06	10%	0%	0,0,0,0,0,0,0,0,0,0	12%	'+500	0
Marcus Foligno	MIN	'+150	A	g	0.5	0.11	0.14 - 0.08	0.12 - 0.11	9%	40%	0,0,1,0,1,0,0,0,0,0	27%	'+425	0
Kaiden Guhle	MTL	'+215	H	g	0.5	0.09	0.12 - 0.08	0.12 - 0.05	9%	20%	0,0,0,0,1,0,0,1,0,1	0%	'+750	0
Philippe Myers	TB	-255	A	g	0.5	0.09	0.1 - 0.0	0.0 - 0.17	9%	20%	0,1,0,0,0,0,0,0,0,0	4%	'+750	0
Connor Dewar	MIN	'+150	A	g	0.5	0.09	0.1 - 0.05	0.12 - 0.06	9%	20%	0,0,0,1,0,0,0,0,0,0	6%	'+650	0
Damon Severson	NJ	-175	H	g	0.5	0.09	0.07 - 0.1	0.09 - 0.09	9%	20%	0,0,0,1,0,0,0,0,1,0	13%	'+750	0
Zach Aston-Reese	TOR	-120	A	g	0.5	0.11	0.12 - 0.04	0.08 - 0.13	9%	20%	0,2,0,0,0,0,0,0,0,0	8%	'+700	0
